country_name,region,country_code,first_epiwk,last_epiwk,case_total,death_total
AFGHANISTAN,Eastern Mediterranean Region,AFG,2024-12-30,2025-09-15,129325,64
ANGOLA,African Region,AGO,2025-01-06,2025-09-15,28773,799
BANGLADESH,South-East Asia Region,BGD,2024-12-30,2025-09-01,67,0
BURUNDI,African Region,BDI,2024-12-30,2025-09-15,1108,6
CHAD,African Region,TCD,2025-07-07,2025-09-15,2321,139
CONGO,African Region,COG,2025-06-16,2025-09-15,747,65
CÔTE D’IVOIRE,African Region,CIV,2025-06-02,2025-08-11,503,20
DEMOCRATIC REPUBLIC OF THE CONGO,African Region,COD,2024-12-30,2025-09-08,53667,1620
ETHIOPIA,African Region,ETH,2024-12-30,2025-09-15,7132,69
GHANA,African Region,GHA,2025-01-06,2025-09-01,2562,14
HAITI,Region of the Americas,HTI,2024-12-30,2025-06-23,2496,31
INDIA,South-East Asia Region,IND,2025-01-27,2025-08-04,1242,1
IRAQ,Eastern Mediterranean Region,IRQ,,,0,0
KENYA,African Region,KEN,2025-02-10,2025-08-11,426,20
MALAWI,African Region,MWI,2024-12-30,2025-03-24,109,2
MOZAMBIQUE,African Region,MOZ,2025-01-27,2025-08-11,4225,35
MYANMAR,South-East Asia Region,MMR,2024-12-30,2025-09-15,2209,0
NAMIBIA,African Region,NAM,2025-03-17,2025-06-16,29,1
NEPAL,South-East Asia Region,NPL,2025-01-06,2025-09-15,1575,0
NIGER,African Region,NER,,,0,0
NIGERIA,African Region,NGA,2024-12-30,2025-08-25,9738,234
PAKISTAN,Eastern Mediterranean Region,PAK,2024-12-30,2025-06-23,13201,0
PHILIPPINES,Western Pacific Region,PHL,2025-04-07,2025-05-19,911,10
RWANDA,African Region,RWA,2025-03-10,2025-08-18,284,0
SOMALIA,Eastern Mediterranean Region,SOM,2024-12-30,2025-08-25,7484,9
SOUTH SUDAN,African Region,SSD,2024-12-30,2025-09-15,75159,1232
SUDAN,Eastern Mediterranean Region,SDN,2024-12-30,2025-09-08,62052,1479
THAILAND,South-East Asia Region,THA,2025-01-20,2025-01-20,5,0
TOGO,African Region,TGO,2025-01-06,2025-03-03,164,4
UGANDA,African Region,UGA,2025-01-06,2025-07-07,255,0
UNITED REPUBLIC OF TANZANIA,African Region,TZA,2024-12-30,2025-09-15,4052,53
YEMEN,Eastern Mediterranean Region,YEM,2024-12-30,2025-09-08,76347,216
ZAMBIA,African Region,ZMB,2024-12-30,2025-09-22,715,11
ZIMBABWE,African Region,ZWE,2024-12-30,2025-06-16,569,21
